Name,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,SO,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
Trevor Kelley,30,TBR,AL,0,1,0.0,4.05,9,3,2,0,0,0,13.1,12,6,6,3,4,8,104,6.36,1.2,8.1,2.0,2.7,5.4,2.0
Carson Kelly,28,ARI,NL,0,0,0.0,0.0,1,0,1,0,0,0,1.0,1,0,0,0,1,0,0,6.29,2.0,9.0,0.0,9.0,0.0,0.0
Joe Kelly,35,CHW,AL,1,4,0.2,4.82,29,0,4,0,0,1,28.0,25,18,15,3,10,37,91,3.22,1.25,8.0,1.0,3.2,11.9,3.7
Kevin Kelly,25,TBR,AL,4,1,0.8,3.09,38,0,4,0,0,1,43.2,34,15,15,1,11,35,134,3.22,1.031,7.0,0.2,2.3,7.2,3.18
Merrill Kelly,34,ARI,NL,9,4,0.692,3.22,16,16,0,0,0,0,95.0,71,40,34,10,37,98,132,3.86,1.137,6.7,0.9,3.5,9.3,2.65
Michael Kelly,30,CLE,AL,1,0,1.0,0.0,3,0,1,0,0,0,3.2,2,0,0,0,0,6,0,0.02,0.545,4.9,0.0,0.0,14.7,0.0
Zack Kelly,28,BOS,AL,0,0,0.0,3.68,6,0,1,0,0,0,7.1,6,3,3,0,6,6,132,4.93,1.636,7.4,0.0,7.4,7.4,1.0
Brett Kennedy,28,CIN,NL,1,0,1.0,7.2,1,1,0,0,0,0,5.0,5,4,4,0,2,3,70,3.29,1.4,9.0,0.0,3.6,5.4,1.5
Ian Kennedy,38,TEX,AL,0,1,0.0,7.2,11,0,5,0,0,0,10.0,11,10,8,1,3,13,63,3.19,1.4,9.9,0.9,2.7,11.7,4.33
Ray Kerr,28,SDP,NL,0,1,0.0,5.63,8,0,5,0,0,0,8.0,8,7,5,3,1,7,76,6.79,1.125,9.0,3.4,1.1,7.9,7.0
Clayton Kershaw,35,LAD,NL,10,4,0.714,2.55,16,16,0,0,0,0,95.1,76,30,27,12,24,105,174,3.54,1.049,7.2,1.1,2.3,9.9,4.38
Yusei Kikuchi,32,TOR,AL,7,3,0.7,3.92,20,20,0,0,0,0,103.1,100,47,45,22,31,108,107,4.95,1.268,8.7,1.9,2.7,9.4,3.48
Caleb Kilian,26,CHC,NL,0,1,0.0,18.9,1,1,0,0,0,0,3.1,10,7,7,0,2,4,26,4.49,3.6,27.0,0.0,5.4,10.8,2.0
Craig Kimbrel,35,PHI,NL,5,1,0.833,3.15,42,0,29,0,0,16,40.0,22,14,14,5,16,60,137,3.26,0.95,5.0,1.1,3.6,13.5,3.75
Isiah KinerFalefa,28,NYY,AL,0,0,0.0,2.25,4,0,4,0,0,0,4.0,4,1,1,0,0,1,205,2.79,1.0,9.0,0.0,0.0,2.3,0.0
John King,28,TEX,AL,1,1,0.5,5.79,15,0,8,0,0,0,18.2,26,12,12,1,4,10,77,3.56,1.607,12.5,0.5,1.9,4.8,2.5
Michael King,28,NYY,AL,2,4,0.333,3.29,32,0,10,0,0,6,52.0,42,20,19,5,19,58,129,3.69,1.173,7.3,0.9,3.3,10.0,3.05
George Kirby,25,SEA,AL,9,8,0.529,3.23,19,19,0,1,0,0,119.2,114,45,43,13,11,103,127,3.33,1.045,8.6,1.0,0.8,7.7,9.36
Corey Kluber,37,BOS,AL,3,6,0.333,7.04,15,9,1,0,0,1,55.0,69,47,43,17,21,42,66,7.14,1.636,11.3,2.8,3.4,6.9,2.0
Reiss Knehr,26,SDP,NL,0,1,0.0,15.88,4,1,3,0,0,0,5.2,10,10,10,3,5,4,27,11.41,2.647,15.9,4.8,7.9,6.4,0.8
Matt Koch,32,COL,NL,0,0,0.0,0.0,10,0,3,0,0,0,11.2,3,0,0,0,0,5,0,2.43,0.257,2.3,0.0,0.0,3.9,0.0
Adam Kolarek,34,LAD,NL,0,0,0.0,0.0,1,0,0,0,0,0,1.1,1,0,0,0,0,2,0,0.29,0.75,6.8,0.0,0.0,13.5,0.0
Michael Kopech,27,CHW,AL,4,8,0.333,4.29,18,18,0,0,0,0,92.1,71,44,44,19,57,102,102,5.9,1.386,6.9,1.9,5.6,9.9,1.79
Jackson Kowar,26,KCR,AL,0,0,0.0,6.17,8,0,3,0,0,0,11.2,15,12,8,1,7,14,73,4.06,1.886,11.6,0.8,5.4,10.8,2.0
Dean Kremer,27,BAL,AL,10,4,0.714,4.8,20,20,0,0,0,0,108.2,115,61,58,22,31,101,87,5.06,1.344,9.5,1.8,2.6,8.4,3.26
Brooks Kriske,29,KCR,AL,0,0,0.0,4.05,4,0,2,0,0,0,6.2,3,3,3,2,4,6,114,7.19,1.05,4.1,2.7,5.4,8.1,1.5
Matt Krook,28,NYY,AL,0,0,0.0,21.0,2,0,0,0,0,0,3.0,6,7,7,1,4,1,23,10.96,3.333,18.0,3.0,12.0,3.0,0.25
Chad Kuhl,30,WSN,NL,0,4,0.0,8.45,16,5,5,0,0,1,38.1,47,38,36,8,28,31,50,6.81,1.957,11.0,1.9,6.6,7.3,1.11
Joel Kuhnel,28,TOT,MLB,0,0,0.0,11.81,4,0,1,0,0,0,5.1,11,7,7,1,3,1,43,7.04,2.625,18.6,1.7,5.1,1.7,0.33
Joel Kuhnel,28,CIN,NL,0,0,0.0,8.1,2,0,1,0,0,0,3.1,6,3,3,0,2,0,64,5.09,2.4,16.2,0.0,5.4,0.0,0.0
Joel Kuhnel,28,HOU,AL,0,0,0.0,18.0,2,0,0,0,0,0,2.0,5,4,4,1,1,1,27,10.29,3.0,22.5,4.5,4.5,4.5,1.0
Joe La Sorsa,25,TOT,MLB,0,0,0.0,7.84,10,0,3,0,0,0,10.1,15,9,9,0,5,8,56,4.06,1.935,13.1,0.0,4.4,7.0,1.6
Joe La Sorsa,25,TBR,AL,0,0,0.0,2.08,2,0,1,0,0,0,4.1,3,1,1,0,3,3,214,4.67,1.385,6.2,0.0,6.2,6.2,1.0
Joe La Sorsa,25,WSN,NL,0,0,0.0,12.0,8,0,2,0,0,0,6.0,12,8,8,0,2,5,37,3.62,2.333,18.0,0.0,3.0,7.5,2.5
Jake Lamb,32,LAA,AL,0,0,0.0,0.0,1,0,1,0,0,0,1.0,1,0,0,0,0,0,0,3.29,1.0,9.0,0.0,0.0,0.0,0.0
Jimmy Lambert,28,CHW,AL,2,1,0.667,6.29,25,1,8,0,0,0,24.1,29,20,17,7,14,28,70,6.58,1.767,10.7,2.6,5.2,10.4,2.0
Peter Lambert,26,COL,NL,2,1,0.667,5.49,16,2,1,0,0,0,39.1,44,25,24,9,16,39,92,5.58,1.525,10.1,2.1,3.7,8.9,2.44
Dinelson Lamet,30,COL,NL,1,4,0.2,11.57,16,4,1,0,0,0,25.2,38,35,33,6,22,31,44,6.6,2.338,13.3,2.1,7.7,10.9,1.41
Alex Lange,27,DET,AL,5,2,0.714,4.08,40,0,27,0,0,16,39.2,25,19,18,3,26,51,106,3.97,1.286,5.7,0.7,5.9,11.6,1.96
Eric Lauer,28,MIL,NL,4,5,0.444,5.48,9,8,1,0,0,0,42.2,45,31,26,13,20,41,80,6.73,1.523,9.5,2.7,4.2,8.6,2.05
Derek Law,32,CIN,NL,3,4,0.429,3.86,28,2,4,0,0,1,28.0,30,14,12,4,15,25,124,4.97,1.607,9.6,1.3,4.8,8.0,1.67
Justin Lawrence,28,COL,NL,3,3,0.5,2.52,42,0,20,0,0,7,50.0,31,17,14,1,23,51,201,2.95,1.08,5.6,0.2,4.1,9.2,2.22
Kyle Leahy,26,STL,NL,0,1,0.0,21.6,3,0,0,0,0,0,1.2,4,4,4,1,5,2,24,19.49,5.4,21.6,5.4,27.0,10.8,0.4
Jos Leclerc,29,TEX,AL,0,1,0.0,3.07,30,0,16,0,0,1,29.1,23,12,10,3,17,31,143,4.24,1.364,7.1,0.9,5.2,9.5,1.82
Dylan Lee,28,ATL,NL,1,0,1.0,3.1,20,1,2,0,0,0,20.1,18,9,7,2,7,23,148,3.34,1.23,8.0,0.9,3.1,10.2,3.29
Casey Legumina,26,CIN,NL,1,0,1.0,6.17,10,0,2,0,0,0,11.2,15,11,8,3,8,11,79,6.8,1.971,11.6,2.3,6.2,8.5,1.38
Mark Leiter Jr,32,CHC,NL,1,2,0.333,3.29,41,0,9,0,0,3,41.0,27,17,15,4,14,53,137,3.36,1.0,5.9,0.9,3.1,11.6,3.79
Sandy Len,34,TEX,AL,0,0,0.0,18.0,1,0,1,0,0,0,1.0,1,2,2,1,0,0,33,19.29,1.0,9.0,9.0,0.0,0.0,0.0
Dominic Leone,31,NYM,NL,1,3,0.25,4.5,28,0,6,0,0,0,28.0,25,14,14,6,9,31,93,4.93,1.214,8.0,1.9,2.9,10.0,3.44
Josh Lester,28,BAL,AL,0,0,0.0,0.0,1,0,1,0,0,0,1.0,1,0,0,0,1,1,0,4.29,2.0,9.0,0.0,9.0,9.0,1.0
Matthew Liberatore,23,STL,NL,1,3,0.25,6.75,9,8,0,0,0,0,32.0,43,29,24,2,16,22,65,4.7,1.844,12.1,0.6,4.5,6.2,1.38
Jeff Lindgren,26,MIA,NL,0,0,0.0,5.14,3,0,1,0,0,0,7.0,4,4,4,0,4,1,88,4.72,1.143,5.1,0.0,5.1,1.3,0.25
Zack Littell,27,TOT,AL,0,2,0.0,5.56,15,3,6,0,0,0,22.2,30,14,14,4,5,23,77,4.22,1.544,11.9,1.6,2.0,9.1,4.6
Zack Littell,27,BOS,AL,0,0,0.0,9.0,2,0,2,0,0,0,3.0,3,3,3,0,3,2,57,4.96,2.0,9.0,0.0,9.0,6.0,0.67
Zack Littell,27,TBR,AL,0,2,0.0,5.03,13,3,4,0,0,0,19.2,27,11,11,4,2,21,83,4.1,1.475,12.4,1.8,0.9,9.6,10.5
Ben Lively,31,CIN,NL,4,5,0.444,3.88,12,10,0,0,0,0,60.1,56,26,26,12,17,59,122,4.86,1.21,8.4,1.8,2.5,8.8,3.47
Mauricio Llovera,27,SFG,NL,1,0,1.0,1.69,5,0,3,0,0,0,5.1,4,1,1,1,2,5,271,4.98,1.125,6.8,1.7,3.4,8.4,2.5
Jonathan Loisiga,28,NYY,AL,0,0,0.0,2.7,3,0,0,0,0,0,3.1,2,1,1,1,0,1,173,7.49,0.6,5.4,2.7,0.0,2.7,0.0
Nick Lodolo,25,CIN,NL,2,1,0.667,6.29,7,7,0,0,0,0,34.1,50,24,24,10,10,47,76,5.82,1.748,13.1,2.6,2.6,12.3,4.7
Zach Logue,27,DET,AL,0,0,0.0,7.71,2,0,1,0,0,0,7.0,7,6,6,1,2,5,59,4.57,1.286,9.0,1.3,2.6,6.4,2.5
Sam Long,27,OAK,AL,0,1,0.0,4.0,30,1,12,0,0,2,36.0,32,16,16,3,14,26,102,4.18,1.278,8.0,0.8,3.5,6.5,1.86
Jorge Lpez,30,MIN,AL,3,2,0.6,5.4,35,0,11,0,0,3,33.1,33,22,20,7,11,27,81,6.11,1.32,8.9,1.9,3.0,7.3,2.45
Jos Lopez,24,TBR,AL,0,0,0.0,4.5,1,0,0,0,0,0,2.0,3,1,1,0,1,2,108,2.79,2.0,13.5,0.0,4.5,9.0,2.0
Pablo Lpez,27,MIN,AL,5,6,0.455,4.22,20,20,0,1,1,0,121.2,105,58,57,15,35,152,102,3.4,1.151,7.8,1.1,2.6,11.2,4.34
Reynaldo Lpez,29,CHW,AL,2,5,0.286,4.5,42,0,13,0,0,4,40.0,33,21,20,7,22,50,97,4.71,1.375,7.4,1.6,5.0,11.3,2.27
Michael Lorenzen,31,DET,AL,5,6,0.455,3.49,17,17,0,0,0,0,100.2,84,41,39,11,26,76,124,4.03,1.093,7.5,1.0,2.3,6.8,2.92
Aaron Loup,35,LAA,AL,1,2,0.333,4.88,31,0,13,0,0,0,27.2,32,18,15,2,11,26,92,3.76,1.554,10.4,0.7,3.6,8.5,2.36
Richard Lovelady,27,OAK,AL,0,3,0.0,4.63,27,0,3,0,0,0,23.1,15,13,12,3,10,24,89,4.57,1.071,5.8,1.2,3.9,9.3,2.4
Joey Lucchesi,30,NYM,NL,1,0,1.0,4.43,5,5,0,0,0,0,22.1,22,11,11,4,8,17,94,5.17,1.343,8.9,1.6,3.2,6.9,2.13
Lucas Luetge,36,ATL,NL,1,0,1.0,8.49,11,0,4,0,0,0,11.2,17,11,11,2,7,11,55,5.69,2.057,13.1,1.5,5.4,8.5,1.57
Seth Lugo,33,SDP,NL,4,4,0.5,3.72,14,14,0,0,0,0,75.0,79,33,31,9,16,71,110,3.68,1.267,9.5,1.1,1.9,8.5,4.44
Jess Luzardo,25,MIA,NL,8,5,0.615,3.34,20,20,0,0,0,0,113.1,102,45,42,12,30,131,130,3.28,1.165,8.1,1.0,2.4,10.4,4.37
Jordan Lyles,32,KCR,AL,1,11,0.083,6.05,18,18,0,1,0,0,102.2,98,74,69,20,31,73,73,5.33,1.256,8.6,1.8,2.7,6.4,2.35
Daniel Lynch IV,26,KCR,AL,3,4,0.429,4.64,9,9,0,0,0,0,52.1,50,29,27,9,16,34,95,5.2,1.261,8.6,1.5,2.8,5.8,2.13
Lance Lynn,36,CHW,AL,6,9,0.4,6.18,20,20,0,0,0,0,115.0,123,87,79,28,43,139,71,5.29,1.443,9.6,2.2,3.4,10.9,3.23
Andrs Machado,30,WSN,NL,0,0,0.0,8.47,14,0,2,0,0,0,17.0,25,16,16,6,5,12,50,7.35,1.765,13.2,3.2,2.6,6.4,2.4
Bligh Madris,27,HOU,AL,0,0,0.0,9.0,1,0,1,0,0,0,1.0,1,1,1,1,1,0,63,19.29,2.0,9.0,9.0,9.0,0.0,0.0
Kenta Maeda,35,MIN,AL,2,5,0.286,5.1,9,9,0,0,0,0,42.1,41,25,24,5,12,50,85,3.31,1.252,8.7,1.1,2.6,10.6,4.17
Tyler Mahle,28,MIN,AL,1,2,0.333,3.16,5,5,0,0,0,0,25.2,22,11,9,5,5,28,138,4.22,1.052,7.7,1.8,1.8,9.8,5.6
Luke Maile,32,CIN,NL,0,0,0.0,4.5,2,0,2,0,0,0,2.0,4,1,1,0,0,0,122,3.29,2.0,18.0,0.0,0.0,0.0,0.0
Sean Manaea,31,SFG,NL,3,3,0.5,5.86,23,6,1,0,0,0,66.0,66,51,43,8,27,80,73,3.99,1.409,9.0,1.1,3.7,10.9,2.96
Matt Manning,25,DET,AL,3,1,0.75,3.19,7,7,0,0,0,0,36.2,25,14,13,4,12,25,136,4.65,1.009,6.1,1.0,2.9,6.1,2.08
Alek Manoah,25,TOR,AL,2,8,0.2,6.18,15,15,0,0,0,0,67.0,76,50,46,12,47,56,68,6.27,1.836,10.2,1.6,6.3,7.5,1.19
Joe Mantiply,32,ARI,NL,1,0,1.0,5.74,13,0,5,0,0,0,15.2,16,10,10,3,1,14,76,4.18,1.085,9.2,1.7,0.6,8.0,14.0
Ron Marinaccio,27,NYY,AL,4,5,0.444,3.61,41,0,7,0,0,2,42.1,31,20,17,4,24,48,118,4.3,1.299,6.6,0.9,5.1,10.2,2.0
Germn Mrquez,28,COL,NL,2,2,0.5,4.95,4,4,0,0,0,0,20.0,19,11,11,4,3,17,103,4.64,1.1,8.6,1.8,1.4,7.7,5.67
Alec Marsh,25,KCR,AL,0,4,0.0,6.2,4,4,0,0,0,0,20.1,19,15,14,8,10,24,72,7.96,1.426,8.4,3.5,4.4,10.6,2.4
Yunior Marte,28,PHI,NL,0,1,0.0,5.54,28,0,6,0,0,1,26.0,31,21,16,4,10,25,78,4.64,1.577,10.7,1.4,3.5,8.7,2.5
Chris Martin,37,BOS,AL,3,1,0.75,1.47,32,0,8,0,0,1,30.2,27,5,5,1,4,27,320,2.34,1.011,7.9,0.3,1.2,7.9,6.75
Adrin Martinez,26,OAK,AL,0,0,0.0,5.7,11,0,5,0,0,0,23.2,25,15,15,3,8,20,72,4.39,1.394,9.5,1.1,3.0,7.6,2.5
Justin Martinez,21,ARI,NL,0,0,0.0,18.9,4,0,2,0,0,0,3.1,8,7,7,1,5,4,25,10.19,3.9,21.6,2.7,13.5,10.8,0.8
Nick Martinez,32,SDP,NL,4,3,0.571,3.95,41,4,5,0,0,1,70.2,65,33,31,10,25,60,104,4.53,1.274,8.3,1.3,3.2,7.6,2.4
Seth Martinez,28,HOU,AL,2,3,0.4,3.96,31,0,7,0,0,1,38.2,37,21,17,3,17,43,107,3.86,1.397,8.6,0.7,4.0,10.0,2.53
Miles Mastrobuoni,27,CHC,NL,0,0,0.0,108.0,1,0,1,0,0,0,0.1,4,4,4,1,0,0,8,42.29,12.0,108.0,27.0,0.0,0.0,0.0
Phil Maton,30,HOU,AL,2,3,0.4,2.44,47,0,5,0,0,1,48.0,32,17,13,3,16,52,173,3.37,1.0,6.0,0.6,3.0,9.8,3.25
Steven Matz,32,STL,NL,1,7,0.125,4.67,21,13,2,0,0,0,81.0,90,45,42,10,29,79,93,4.13,1.469,10.0,1.1,3.2,8.8,2.72
Dustin May,25,LAD,NL,4,1,0.8,2.63,9,9,0,0,0,0,48.0,29,14,14,1,16,34,169,3.27,0.938,5.4,0.2,3.0,6.4,2.13
Trevor May,33,OAK,AL,2,4,0.333,4.73,29,0,17,0,0,9,26.2,21,16,14,4,23,23,87,6.44,1.65,7.1,1.4,7.8,7.8,1.0
Mike Mayers,31,KCR,AL,1,2,0.333,6.15,6,2,0,0,0,0,26.1,34,19,18,4,10,17,72,5.11,1.671,11.6,1.4,3.4,5.8,1.7
Tim Mayza,31,TOR,AL,1,1,0.5,1.1,44,0,7,0,0,1,32.2,28,5,4,0,6,33,383,1.82,1.041,7.7,0.0,1.7,9.1,5.5
James McArthur,26,KCR,AL,0,0,0.0,63.0,1,0,0,0,0,0,1.0,6,7,7,1,1,0,9,19.29,7.0,54.0,9.0,9.0,0.0,0.0
Darren McCaughan,27,SEA,AL,0,0,0.0,6.75,2,0,2,0,0,0,4.0,6,4,3,1,3,7,66,5.29,2.25,13.5,2.3,6.8,15.8,2.33
Shane McClanahan,26,TBR,AL,11,1,0.917,2.89,19,19,0,0,0,0,106.0,82,34,34,12,41,112,142,3.81,1.16,7.0,1.0,3.5,9.5,2.73
TJ McFarland,34,NYM,NL,0,1,0.0,5.4,3,0,1,0,0,0,1.2,4,2,1,0,1,2,93,4.49,3.0,21.6,0.0,5.4,10.8,2.0
Easton McGee,25,SEA,AL,0,0,0.0,0.0,1,1,0,0,0,0,6.2,1,0,0,0,1,2,0,3.14,0.3,1.4,0.0,1.4,2.7,2.0
Scott McGough,33,ARI,NL,1,6,0.143,3.88,43,0,17,0,0,7,48.2,35,24,21,6,20,60,110,3.72,1.13,6.5,1.1,3.7,11.1,3.0
Collin McHugh,36,ATL,NL,3,1,0.75,3.54,30,1,2,0,0,0,40.2,49,20,16,3,14,29,128,4.15,1.549,10.8,0.7,3.1,6.4,2.07
Ryan McKenna,26,BAL,AL,0,0,0.0,18.0,1,0,1,0,0,0,1.0,4,2,2,0,0,0,32,3.29,4.0,36.0,0.0,0.0,0.0,0.0
Triston McKenzie,25,CLE,AL,0,1,0.0,4.5,2,2,0,0,0,0,10.0,8,5,5,1,4,15,95,2.79,1.2,7.2,0.9,3.6,13.5,3.75
Zach McKinstry,28,DET,AL,0,0,0.0,18.0,1,0,1,0,0,0,1.0,3,2,2,1,0,0,32,16.29,3.0,27.0,9.0,0.0,0.0,0.0
Nick Mears,26,COL,NL,0,0,0.0,2.57,5,0,2,0,0,0,7.0,4,2,2,0,4,8,204,2.72,1.143,5.1,0.0,5.1,10.3,2.0
Victor Mederos,22,LAA,AL,0,0,0.0,13.5,2,0,1,0,0,0,2.0,4,3,3,0,3,2,39,7.29,3.5,18.0,0.0,13.5,9.0,0.67
Luis Medina,24,OAK,AL,3,7,0.3,5.79,13,9,0,0,0,0,65.1,67,44,42,11,33,64,70,5.08,1.531,9.2,1.5,4.5,8.8,1.94
Trevor Megill,29,MIL,NL,1,0,1.0,4.6,15,0,5,0,0,0,15.2,16,8,8,0,7,21,96,2.14,1.468,9.2,0.0,4.0,12.1,3.0
Tylor Megill,27,NYM,NL,6,4,0.6,5.17,15,15,0,0,0,0,71.1,80,49,41,9,39,58,80,5.11,1.668,10.1,1.1,4.9,7.3,1.49
JC Meja,26,MIL,NL,1,0,1.0,5.4,4,0,2,0,0,0,3.1,5,2,2,1,0,3,89,5.39,1.5,13.5,2.7,0.0,8.1,0.0
Julian Merryweather,31,CHC,NL,3,0,1.0,4.01,43,0,12,0,0,0,42.2,42,20,19,4,22,58,112,3.34,1.5,8.9,0.8,4.6,12.2,2.64
Keynan Middleton,29,CHW,AL,2,2,0.5,3.41,37,0,6,0,0,2,34.1,28,14,13,5,15,44,129,4.02,1.252,7.3,1.3,3.9,11.5,2.93
Miles Mikolas,34,STL,NL,6,5,0.545,4.33,22,22,0,0,0,0,126.2,141,62,61,12,25,86,100,3.9,1.311,10.0,0.9,1.8,6.1,3.44
Wade Miley,36,MIL,NL,6,2,0.75,3.06,13,13,0,0,0,0,67.2,59,23,23,8,19,46,142,4.4,1.153,7.8,1.1,2.5,6.1,2.42
Bobby Miller,24,LAD,NL,6,1,0.857,4.28,10,10,0,0,0,0,54.2,49,26,26,5,16,53,104,3.64,1.189,8.1,0.8,2.6,8.7,3.31
Brad Miller,33,TEX,AL,0,0,0.0,13.5,1,0,1,0,0,0,2.0,2,3,3,1,2,0,38,12.79,2.0,9.0,4.5,9.0,0.0,0.0
Bryce Miller,24,SEA,AL,6,3,0.667,3.5,13,13,0,0,0,0,69.1,52,27,27,7,15,64,117,3.49,0.966,6.8,0.9,1.9,8.3,4.27
Mason Miller,24,OAK,AL,0,2,0.0,3.38,4,4,0,0,0,0,21.1,14,8,8,1,7,22,122,3.1,0.984,5.9,0.4,3.0,9.3,3.14
Shelby Miller,32,LAD,NL,1,0,1.0,2.4,25,0,10,0,0,1,30.0,12,8,8,3,18,31,186,4.52,1.0,3.6,0.9,5.4,9.3,1.72
Tyson Miller,27,MIL,NL,0,0,0.0,5.79,7,0,6,0,0,0,9.1,9,6,6,2,3,7,78,5.86,1.286,8.7,1.9,2.9,6.8,2.33
Alec Mills,31,CIN,NL,0,0,0.0,18.0,1,0,0,0,0,0,1.0,4,5,2,1,1,0,35,22.29,5.0,36.0,9.0,9.0,0.0,0.0
Hoby Milner,32,MIL,NL,2,0,1.0,2.31,44,0,1,0,0,0,39.0,33,10,10,4,9,36,189,3.62,1.077,7.6,0.9,2.1,8.3,4.0
Tommy Milone,36,SEA,AL,0,1,0.0,2.0,2,2,0,0,0,0,9.0,7,3,2,1,6,3,213,6.07,1.444,7.0,1.0,6.0,3.0,0.5
AJ Minter,29,ATL,NL,3,5,0.375,4.91,44,0,16,0,0,10,40.1,34,22,22,4,10,50,92,2.84,1.091,7.6,0.9,2.2,11.2,5.0
Anthony Misiewicz,28,TOT,MLB,1,0,1.0,8.64,8,0,2,0,0,0,8.1,15,8,8,2,3,6,53,6.05,2.16,16.2,2.2,3.2,6.5,2.0
Anthony Misiewicz,28,ARI,NL,1,0,1.0,5.63,7,0,1,0,0,0,8.0,11,5,5,1,3,6,79,4.54,1.75,12.4,1.1,3.4,6.8,2.0
Anthony Misiewicz,28,DET,AL,0,0,0.0,81.0,1,0,1,0,0,0,0.1,4,3,3,1,0,0,11,42.29,12.0,108.0,27.0,0.0,0.0,0.0
Carmen Mlodzinski,24,PIT,NL,1,2,0.333,2.45,13,1,3,0,0,0,14.2,10,8,4,2,6,12,186,4.86,1.091,6.1,1.2,3.7,7.4,2.0
Sam Moll,31,OAK,AL,0,3,0.0,4.58,41,1,9,0,0,1,35.1,32,19,18,1,16,44,89,3.12,1.358,8.2,0.3,4.1,11.2,2.75
Rafael Montero,32,HOU,AL,2,3,0.4,6.26,40,0,16,0,0,1,41.2,47,31,29,8,17,43,67,5.16,1.536,10.2,1.7,3.7,9.3,2.53
Jordan Montgomery,30,STL,NL,6,7,0.462,3.14,19,19,0,0,0,0,109.0,105,44,38,10,29,101,138,3.48,1.229,8.7,0.8,2.4,8.3,3.48
Matt Moore,34,LAA,AL,3,1,0.75,2.17,26,0,4,0,0,0,29.0,18,8,7,4,8,27,207,4.25,0.897,5.6,1.2,2.5,8.4,3.38
McKinley Moore,24,PHI,NL,0,0,0.0,18.9,3,0,0,0,0,0,3.1,5,7,7,1,5,2,25,12.29,3.0,13.5,2.7,13.5,5.4,0.4
Jovani Moran,26,MIN,AL,2,2,0.5,4.31,38,0,10,0,0,0,39.2,31,21,19,3,22,46,101,3.62,1.336,7.0,0.7,5.0,10.4,2.09
Adrin Morejn,24,SDP,NL,0,0,0.0,7.0,8,1,1,0,0,0,9.0,14,7,7,1,5,8,61,4.62,2.111,14.0,1.0,5.0,8.0,1.6
Dauri Moreta,27,PIT,NL,4,2,0.667,3.32,43,0,10,0,0,1,43.1,29,18,16,3,20,59,135,3.06,1.131,6.0,0.6,4.2,12.3,2.95
Eli Morgan,27,CLE,AL,4,1,0.8,2.43,37,0,8,0,0,1,40.2,38,15,11,5,11,42,171,3.63,1.205,8.4,1.1,2.4,9.3,3.82
Reyes Moronta,30,LAA,AL,0,0,0.0,6.75,2,0,0,0,0,0,1.1,4,1,1,1,3,2,83,16.79,5.25,27.0,6.8,20.3,13.5,0.67
Cody Morris,26,CLE,AL,0,0,0.0,9.0,4,0,1,0,0,0,4.0,7,4,4,3,2,6,50,11.54,2.25,15.8,6.8,4.5,13.5,3.0
Charlie Morton,39,ATL,NL,10,7,0.588,3.36,19,19,0,0,0,0,109.2,104,45,41,10,46,119,134,3.7,1.368,8.5,0.8,3.8,9.8,2.59
Zach Muckenhirn,28,NYM,NL,0,0,0.0,6.0,3,0,1,0,0,0,6.0,11,4,4,0,2,3,73,3.79,2.167,16.5,0.0,3.0,4.5,1.5
Kyle Muller,25,OAK,AL,1,4,0.2,7.79,11,11,0,0,0,0,52.0,75,45,45,10,27,37,52,6.1,1.962,13.0,1.7,4.7,6.4,1.37
Andrs Muoz,24,SEA,AL,2,3,0.4,2.66,21,0,2,0,0,1,20.1,13,6,6,1,8,30,157,2.31,1.033,5.8,0.4,3.5,13.3,3.75
Penn Murfee,29,SEA,AL,1,2,0.333,1.29,16,0,3,0,0,0,14.0,5,5,2,1,10,16,327,4.29,1.071,3.2,0.6,6.4,10.3,1.6
Chris Murphy,25,BOS,AL,0,0,0.0,1.69,7,0,2,0,0,0,21.1,15,4,4,1,9,23,280,3.01,1.125,6.3,0.4,3.8,9.7,2.56
Joe Musgrove,30,SDP,NL,9,2,0.818,3.16,15,15,0,0,0,0,85.1,79,32,30,8,18,86,129,3.44,1.137,8.3,0.8,1.9,9.1,4.78
Parker Mushinski,27,HOU,AL,0,0,0.0,4.15,4,0,0,0,0,0,4.1,6,2,2,0,2,6,109,3.98,1.846,12.5,0.0,4.2,12.5,3.0
James Naile,30,STL,NL,0,0,0.0,11.74,5,0,2,0,0,0,7.2,18,14,10,0,7,4,39,4.98,3.261,21.1,0.0,8.2,4.7,0.57
Andrew Nardi,24,MIA,NL,6,1,0.857,3.19,41,0,8,0,0,2,36.2,30,14,13,7,11,48,137,4.13,1.118,7.4,1.7,2.7,11.8,4.36
Packy Naughton,27,STL,NL,0,0,0.0,0.0,4,0,2,0,0,0,5.0,2,0,0,0,1,5,0,1.89,0.6,3.6,0.0,1.8,9.0,5.0
Zach Neal,34,OAK,AL,0,0,0.0,8.1,2,0,2,0,0,0,3.1,4,3,3,2,0,3,56,9.29,1.2,10.8,5.4,0.0,8.1,0.0
Kyle Nelson,26,ARI,NL,4,2,0.667,2.97,43,1,4,0,0,0,36.1,35,15,12,6,9,48,144,3.62,1.211,8.7,1.5,2.2,11.9,5.33
Ryne Nelson,25,ARI,NL,6,5,0.545,4.82,20,20,0,0,0,0,106.1,117,59,57,16,30,73,88,4.75,1.382,9.9,1.4,2.5,6.2,2.43
